lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015
25.5,92.5,1059,15.386483,180,,,,,,,,,,,,,,,
25.5,92.75,527,10.266253,216.45029,,,,,,,,,,,,,,,
25.5,93,223,22.963354,342.76508,,,,,,,,,,,,,,,
25.5,93.25,327,14.532943,115.9201,,,,,,,,,,,,,,,
25.5,93.5,485,8.533044,166.16852,,,,,,,,,,,,,,,
25.5,94.25,2125,11.484637,256.17105,,,,,,,,,,,,,,,
25.75,90,43,10.489395,330.96426,,,,,,,,,,,,,,,
25.75,90.25,158,3.2220669,286.7115,,,,,,,,,,,,,,,
25.75,90.5,203,15.190935,83.15197,,,,,,,,,,,,,,,
25.75,90.75,261,15.758658,149.36882,,,,,,,,,,,,,,,
25.75,91,593,13.421802,258.25806,,,,,,,,,,,,,,,
25.75,91.25,829,10.373979,51.75797,,,,,,,,,,,,,,,
25.75,91.5,576,14.805403,252.16817,,,,,,,,,,,,,,,
25.75,91.75,732,15.496255,103.50582,,,,,,,,,,,,,,,
25.75,92,902,16.132149,141.58434,,,,,,,,,,,,,,,
25.75,92.25,797,19.372692,345.19284,,,,,,,,,,,,,,,
25.75,92.5,764,8.425283,209.03575,,,,,,,,,,,,,,,
25.75,92.75,168,10.234491,224.17087,,,,,,,,,,,,,,,
25.75,93,128,3.598642,59.016636,,,,,,,,,,,,,,,
25.75,93.25,143,7.537641,222.77525,,,,,,,,,,,,,,,
25.75,93.5,232,5.554729,213.66956,,,,,,,,,,,,,,,
25.75,93.75,526,15.469026,139.5014,,,,,,,,,,,,,,,
25.75,94,916,17.99206,318.38852,,,,,,,,,,,,,,,
25.75,94.25,645,35.043465,143.88579,,,,,,,,,,,,,,,
26,90,37,3.4601285,143.43439,,,,,,,,,,,,,,,
26,90.25,36,4.5159945,294.199,,,,,,,,,,,,,,,
26,90.5,139,21.742445,13.050245,,,,,,,,,,,,,,,
26,90.75,77,12.924115,9.031225,,,,,,,,,,,,,,,
26,91,44,1.3872141,48.050983,,,,,,,,,,,,,,,
26,91.25,45,2.1217246,150.91277,,,,,,,,,,,,,,,
26,91.5,50,1.3872141,48.050983,,,,,,,,,,,,,,,
26,91.75,456,28.95517,15.094711,,,,,,,,,,,,,,,
26,92,333,21.25224,182.65424,,,,,,,,,,,,,,,
26,92.25,329,22.970991,342.6967,,,,,,,,,,,,,,,
26,92.5,145,17.112877,263.96396,,,,,,,,,,,,,,,
26,92.75,72,3.8450236,15.543934,,,,,,,,,,,,,,,
26,93,80,1.3872141,228.05098,,,,,,,,,,,,,,,
26,93.25,125,3.8450236,195.54393,,,,,,,,,,,,,,,
26,93.5,304,9.573787,320.15665,,,,,,,,,,,,,,,
26,93.75,159,2.1217246,29.08723,,,,,,,,,,,,,,,
26,94,702,30.641207,114.199005,,,,,,,,,,,,,,,
26,94.25,1089,18.73047,295.4466,,,,,,,,,,,,,,,
26,94.5,1806,27.451897,46.72303,,,,,,,,,,,,,,,
26.25,89,59,2.1227987,330.86066,,,,,,,,,,,,,,,
26.25,89.25,49,0.92740995,180,,,,,,,,,,,,,,,
26.25,89.5,38,0,0,,,,,,,,,,,,,,,
26.25,89.75,35,0.92740995,0,,,,,,,,,,,,,,,
26.25,90,57,4.23155,257.36227,,,,,,,,,,,,,,,
26.25,90.25,40,3.6099005,239.12416,,,,,,,,,,,,,,,
26.25,90.5,36,2.965782,159.61182,,,,,,,,,,,,,,,
26.25,90.75,40,4.1293907,90,,,,,,,,,,,,,,,
26.25,91,41,1.3888581,131.88806,,,,,,,,,,,,,,,
26.25,91.25,45,1.0340266,270,,,,,,,,,,,,,,,
26.25,91.5,49,3.4627545,216.6243,,,,,,,,,,,,,,,
26.25,91.75,196,14.209901,219.90369,,,,,,,,,,,,,,,
26.25,92,378,21.793558,35.932365,,,,,,,,,,,,,,,
26.25,92.25,60,1.3888581,131.88806,,,,,,,,,,,,,,,
26.25,92.5,60,1.0340266,90,,,,,,,,,,,,,,,
26.25,92.75,66,1.3888581,311.88806,,,,,,,,,,,,,,,
26.25,93,102,6.7820663,162.32982,,,,,,,,,,,,,,,
26.25,93.25,429,17.954708,123.33318,,,,,,,,,,,,,,,
26.25,93.5,918,25.37231,229.56804,,,,,,,,,,,,,,,
26.25,93.75,265,6.180746,90,,,,,,,,,,,,,,,
26.25,94,115,2.1227987,330.86066,,,,,,,,,,,,,,,
26.25,94.25,848,12.253958,85.72569,,,,,,,,,,,,,,,
26.25,94.5,822,22.0527,2.553666,,,,,,,,,,,,,,,
26.25,94.75,1563,18.073872,37.472057,,,,,,,,,,,,,,,
